dog_id	vendor_name	category_name	date_expense	amount_expense
1	TagWorks	Dental care	2023-10-06	1.05
6	Dr Hudson	Dental care	2024-01-17	288.63
6	Kahoots Pet	Dental care	2023-11-28	1.63
6	Pet Group Inc	Dental care	2023-11-28	18.16
9	Arrieros Pet Shop	Dental care	2023-11-06	40.84
9	Canine Learning Centers	Dental care	2023-12-11	62.60
10	Dr Rozenman	Dental care	2023-11-13	31.44
14	Canine Learning Centers	Dental care	2023-11-22	9.91
14	Unleashed by Petco	Dental care	2023-11-22	7.81
17	Dr Towers	Dental care	2023-12-04	126.54
21	Decker's Dog and Cat	Dental care	2024-01-25	2.03
21	TagWorks	Dental care	2024-01-30	21.40
23	Canine Learning Centers	Dental care	2024-01-17	74.28
23	Dr Brown	Dental care	2024-02-05	45.72
23	Dr Rozenman	Dental care	2024-01-29	293.71
23	Dr Smith	Dental care	2024-01-25	276.30
25	Dr Hudson	Dental care	2023-12-25	129.29
27	Dr Brown	Dental care	2023-12-30	83.37
35	Pet Kingdom	Dental care	2024-01-20	9.55
38	Pawerica Pet Store	Dental care	2024-01-21	20.21
41	Dr Jones	Dental care	2024-02-28	90.20
41	Pet Group Inc	Dental care	2024-02-21	25.57
41	Petco	Dental care	2024-02-21	0.45
45	Pet Group Inc	Dental care	2024-03-25	3.97
45	TagWorks	Dental care	2024-05-07	9.75
46	Dr Hudson	Dental care	2024-02-10	132.92
48	Dr Brown	Dental care	2024-02-13	141.95
51	Dr Wilson	Dental care	2024-03-12	152.56
51	Pawerica Pet Store	Dental care	2024-04-11	2.56
51	Petco	Dental care	2024-03-18	10.19
52	Decker's Dog and Cat	Dental care	2024-02-25	16.84
54	Pet Group Inc	Dental care	2024-03-02	10.70
56	Pet Kingdom	Dental care	2024-03-13	21.83
57	Dr Wilson	Dental care	2024-03-28	54.80
58	Dr Rozenman	Dental care	2024-04-15	112.94
59	Canine Learning Centers	Dental care	2024-04-05	10.49
59	Dr Arnold	Dental care	2024-03-07	147.26
59	Dr Rozenman	Dental care	2024-03-23	274.30
59	Dr Wilson	Dental care	2024-04-05	31.03
59	TagWorks	Dental care	2024-04-06	74.21
61	Dr Brown	Dental care	2024-03-30	170.09
61	Dr Jones	Dental care	2024-03-27	185.03
66	Pet Kingdom	Dental care	2024-05-06	34.92
67	Kahoots Pet	Dental care	2024-04-14	3.12
69	Arrieros Pet Shop	Dental care	2024-04-12	35.62
70	Dr Rozenman	Dental care	2024-04-27	180.24
70	Pet Kingdom	Dental care	2024-04-21	10.15
71	Canine Learning Centers	Dental care	2024-04-24	48.49
72	Dr Arnold	Dental care	2024-05-23	65.62
72	Dr Arnold	Dental care	2024-06-07	245.22
72	Dr Rozenman	Dental care	2024-05-23	245.89
72	Dr Wilson	Dental care	2024-05-05	127.22
72	Pet Group Inc	Dental care	2024-05-05	23.38
78	Dr Jones	Dental care	2024-05-20	199.46
78	Petco	Dental care	2024-05-17	15.02
80	Dr Jones	Dental care	2024-06-02	232.98
81	Dr Jones	Dental care	2024-06-13	211.90
81	Dr Towers	Dental care	2024-06-10	278.17
81	Dr Wilson	Dental care	2024-06-29	260.18
81	Dr Wilson	Dental care	2024-07-17	185.48
81	TagWorks	Dental care	2024-06-11	20.61
85	Dr Arnold	Dental care	2024-06-15	210.20
88	Dr Jones	Dental care	2024-06-19	227.67
88	TagWorks	Dental care	2024-06-18	20.93
90	Canine Learning Centers	Dental care	2024-07-08	6.45
90	Dr Rozenman	Dental care	2024-06-17	209.98
91	Dr Jones	Dental care	2024-06-16	294.38
91	Unleashed by Petco	Dental care	2024-06-19	42.61
93	Dr Arnold	Dental care	2024-06-24	203.28
95	Dr Arnold	Dental care	2024-07-15	11.49
95	Dr Arnold	Dental care	2024-07-24	11.04
96	Unleashed by Petco	Dental care	2024-07-02	47.12
98	Dr Arnold	Dental care	2024-07-09	214.19
98	Dr Brown	Dental care	2024-07-19	77.20
98	TagWorks	Dental care	2024-07-19	11.65
100	Dr Smith	Dental care	2024-07-22	37.59
100	Dr Towers	Dental care	2024-07-29	255.41
100	Pet Kingdom	Dental care	2024-07-29	13.94
103	Pawerica Pet Store	Dental care	2024-07-27	20.14
103	Pawerica Pet Store	Dental care	2024-08-08	29.62
104	Canine Learning Centers	Dental care	2024-08-28	8.75
104	Dr Brown	Dental care	2024-08-01	290.26
104	Dr Smith	Dental care	2024-08-22	132.67
106	Decker's Dog and Cat	Dental care	2024-10-25	18.06
106	Decker's Dog and Cat	Dental care	2024-11-09	22.34
106	Dr Arnold	Dental care	2024-08-09	12.13
106	Dr Arnold	Dental care	2024-10-08	171.01
106	Dr Hudson	Dental care	2024-12-16	189.91
106	Dr Jones	Dental care	2024-10-01	12.85
106	Dr Jones	Dental care	2024-11-09	27.27
106	Dr Rozenman	Dental care	2024-10-08	8.17
106	Dr Rozenman	Dental care	2024-11-19	233.69
106	Pet Kingdom	Dental care	2024-12-30	21.32
113	Arrieros Pet Shop	Dental care	2024-09-16	11.97
113	Dr Jones	Dental care	2024-08-20	246.84
115	Dr Arnold	Dental care	2024-08-16	127.67
115	Petco	Dental care	2024-08-16	57.77
115	Petco	Dental care	2024-08-27	60.56
116	Arrieros Pet Shop	Dental care	2024-09-02	23.88
116	Canine Learning Centers	Dental care	2024-08-17	3.37
116	Dr Hudson	Dental care	2024-08-16	144.65
116	Pawerica Pet Store	Dental care	2024-09-02	0.44
122	Dr Wilson	Dental care	2024-08-30	236.33
122	Pet Group Inc	Dental care	2024-09-11	0.46
124	Dr Brown	Dental care	2024-10-11	221.34
124	Dr Rozenman	Dental care	2024-10-04	228.64
124	TagWorks	Dental care	2024-09-13	25.36
126	Arrieros Pet Shop	Dental care	2024-09-12	19.62
126	Arrieros Pet Shop	Dental care	2024-09-19	13.12
126	Dr Rozenman	Dental care	2024-12-04	177.95
126	Dr Wilson	Dental care	2024-09-17	3.87
126	Dr Wilson	Dental care	2024-10-07	118.22
126	Pet Group Inc	Dental care	2024-09-17	8.45
126	Pet Group Inc	Dental care	2024-10-07	4.26
130	Petco	Dental care	2024-10-15	3.01
131	Arrieros Pet Shop	Dental care	2024-10-27	4.08
131	Dr Smith	Dental care	2024-10-05	177.99
132	Canine Learning Centers	Dental care	2024-10-11	11.46
